dataset_name,model_name,trainauc,trainacc,validauc,validacc,testauc,testacc
llama3.2:latest,dkt,0.894801961810399,0.8687712782420304,0.8692103537320163,0.8551042810098792,0.8714420438957478,0.8547008547008547
mistral,dkt,0.8845953522421611,0.8605158730158731,0.8767644703729124,0.8579846788450206,0.8673433048433048,0.8650519031141869
qwen3.5:latest,dkt,0.8884978404471545,0.8619528619528619,0.8955955955955957,0.8665105386416861,0.8691898481657985,0.8599066044029353
qwen2.5:latest,dkt,0.8827180891109438,0.8608443558615692,0.8602917271722403,0.8708100558659218,0.8763163349917082,0.8577524893314367
deepseek-r1:latest,dkt,0.8854160570530916,0.8673886391499795,0.8979458604582735,0.8675105485232067,0.8729251753101641,0.8650385604113111
assist2009,dkt,0.8651645810501989,0.8264216466502677,0.7980885505695816,0.7848637508587131,0.7949257484442167,0.7821289680745229
llama3.2:latest,sakt,0.9104395749520856,0.8820798514391829,0.8722025249006027,0.862788144895719,0.8819077013521457,0.8641025641025641
mistral,sakt,0.8985299997277716,0.8686507936507937,0.8883693662777397,0.8509133765468474,0.8710327635327636,0.8437139561707035
qwen3.5:latest,sakt,0.9004259823848237,0.868013468013468,0.8915810547389494,0.8665105386416861,0.8826332705308655,0.8592394929953302
qwen2.5:latest,sakt,0.9001303127780438,0.8628374705562601,0.8708077765014414,0.8680167597765364,0.8800787728026535,0.8556187766714083
deepseek-r1:latest,sakt,0.8933228559602384,0.8684102983244789,0.8986017629678669,0.8658227848101265,0.88283886876782,0.8798200514138818
assist2009,sakt,0.8433283963244279,0.805353783822891,0.653840873456698,0.7226929242042592,0.6666720694793462,0.7347381749118206
llama3.2:latest,akt,0.8831927127096721,0.8455586505725782,0.8749846292576957,0.8638858397365532,0.8675166568685087,0.8615384615384616
mistral,akt,0.8795087819880607,0.8406746031746032,0.8844171814230153,0.858573954036535,0.8701538461538461,0.8650519031141869
qwen3.5:latest,akt,0.8866059027777778,0.84668911335578,0.8861124282176913,0.8665105386416861,0.8744264656987697,0.8599066044029353
qwen2.5:latest,akt,0.877177742796523,0.8534154738177206,0.8623593922711805,0.8442737430167597,0.869933665008292,0.8357041251778093
deepseek-r1:latest,akt,0.8733202596714419,0.8637106661217818,0.8962141552343471,0.8607594936708861,0.8771383987054019,0.859254498714653
assist2009,akt,0.8521970126217353,0.8139487773115324,0.7909211276034941,0.7846347607052897,0.7851355837904072,0.7828524916342589
llama3.2:latest,simplekt,0.9947182662640917,0.9758588672237696,0.9548715005943352,0.9286498353457738,0.9556970164609052,0.923931623931624
mistral,simplekt,0.9072273674108556,0.8607142857142858,0.8997369023106842,0.858573954036535,0.8832165242165241,0.8650519031141869
qwen3.5:latest,simplekt,0.8879268292682927,0.8650953984287317,0.8831726463305409,0.8524590163934426,0.8822712327754996,0.8552368245496998
qwen2.5:latest,simplekt,0.8809930873999041,0.8601195868816814,0.859190706343874,0.8708100558659218,0.870957711442786,0.8577524893314367
deepseek-r1:latest,simplekt,0.879043444920549,0.8637106661217818,0.8900597055181629,0.8565400843881856,0.8836190953224936,0.8727506426735219
assist2009,simplekt,0.9129881957445488,0.8594993488641296,0.7508062866905421,0.7637966567437601,0.746732741828452,0.7602423803925116
llama3.2:latest,dtransformer,0.9983285652734468,0.9839059114825132,0.9891585030946428,0.973655323819978,0.9866193905545758,0.9803418803418804
mistral,dtransformer,0.9981537670335408,0.984920634920635,0.9961993822923816,0.9823217442545668,0.9921310541310542,0.9711649365628604
qwen3.5:latest,dtransformer,0.9976122120596206,0.9829405162738496,0.992036773615721,0.9734582357533176,0.9942886696959622,0.980653769179453
qwen2.5:latest,dtransformer,0.9975664909999314,0.9809748142779487,0.9929213897136911,0.9720670391061452,0.9955762852404644,0.9800853485064012
deepseek-r1:latest,dtransformer,0.997195511541603,0.9809971393543114,0.990471023820908,0.9831223628691984,0.9933420667334516,0.9794344473007712
assist2009,dtransformer,0.9323686048993842,0.8649978295470988,0.7709403391118161,0.766888023814976,0.772091832968128,0.7728136022429231
